Tempo,Estado,Alt,Vel,AccX,AccY,AccZ,Lat,Lon
36366,0,-0.45,-0.26,10.013,0.129,0.163,0,0
36416,0,-0.45,-0.15,10.056,0.101,0.144,0,0
36467,0,-0.48,0.00,10.041,0.163,0.067,0,0
36519,0,-0.48,-0.16,10.017,0.129,0.091,0,0
36571,0,-0.50,-1.01,10.022,0.115,0.196,0,0
36622,0,-0.50,0.00,10.051,0.101,0.144,0,0
36674,0,-0.50,0.36,10.080,0.110,0.101,0,0
36725,0,-0.53,0.00,10.084,0.096,0.148,0,0
36777,0,-0.51,0.22,10.027,0.124,0.153,0,0
36829,0,-0.50,0.34,9.998,0.120,0.148,0,0
36880,0,-0.55,-1.53,10.075,0.062,0.153,0,0
36930,0,-0.56,-1.65,10.056,0.081,0.148,0,0
36981,0,-0.57,0.00,10.022,0.129,0.101,0,0
37031,0,-0.56,0.36,10.027,0.110,0.081,0,0
37081,0,-0.55,0.36,10.032,0.105,0.081,0,0
37131,0,-0.59,0.00,10.022,0.096,0.077,0,0
37183,0,-0.56,0.22,10.027,0.101,0.101,0,0
37235,0,-0.59,-1.04,10.070,0.081,0.048,0,0
37286,0,-0.58,0.00,10.027,0.067,0.124,0,0
37338,0,-0.56,0.34,10.051,0.067,0.110,0,0
37389,0,-0.57,0.00,10.065,0.096,0.096,0,0
37440,0,-0.55,0.82,10.046,0.057,0.091,0,0
37491,0,-0.51,0.00,10.032,0.067,0.105,0,0
37543,0,-0.48,0.34,10.027,0.062,0.062,0,0
